query_id,query_text,candidate_id,candidate_text,baseline_rank,baseline_score,gold_label
18,Define Markov property in MDPs.,e,Policy evaluation computes values under a fixed policy.,5,0.6169,0
19,What is a vector store index used for?,a,A vector store index enables fast nearest-neighbor lookups over embeddings.,1,0.8523,1
19,What is a vector store index used for?,b,It stores chunk metadata and supports ANN search like HNSW or IVF.,2,0.7998,1
19,What is a vector store index used for?,c,Chunking source documents impacts retrieval quality and speed.,3,0.7496,0
19,What is a vector store index used for?,d,k-means clustering is used for partitioning data into k groups.,4,0.6796,0
19,What is a vector store index used for?,e,Rerankers can reorder retrieved results based on cross-encoders.,5,0.6162,0
20,Explain cosine vs. dot-product similarity.,a,Cosine similarity normalizes vectors; it measures angular closeness between directions.,1,0.8648,1
20,Explain cosine vs. dot-product similarity.,b,Dot product increases with both alignment and magnitude of vectors.,2,0.7996,1
20,Explain cosine vs. dot-product similarity.,c,Unit-normalizing embeddings makes cosine and dot product equivalent up to scaling.,3,0.7438,0
20,Explain cosine vs. dot-product similarity.,d,BLEU scores evaluate n-gram overlap for translation.,4,0.6803,0
20,Explain cosine vs. dot-product similarity.,e,Centering vectors can affect cosine values depending on preprocessing.,5,0.6141,0
